question_id,category,status,final_answer,em_final,abstained,em_context_only_canonical,ctx_contains_gt_keywords,pool,union_rows,step_3_19_bucket,gen_model,n_samples,vote_count,unanimous,parse_ok_n
A14,factual-lookup,pass,The T2 medium-grade heat band is defined by a temperature range of 60.0 to 90.0 degrees Celsius.,True,False,True,True,TEMPERATURE_BAND_DEF|P2_thermal_compatibility_all|P6_full_is_path|ALL_REGULATORY_ARTICLES|GENERIC_STANDARD,40,synthesis_or_metric,claude-haiku-4-5-20251001,3,3,True,3
A15,factual-lookup,pass,The T3 high-grade heat band is defined by a temperature range of 90.0 to 130.0 degrees Celsius.,True,False,True,True,TEMPERATURE_BAND_DEF|P2_thermal_compatibility_all|P6_full_is_path|ALL_REGULATORY_ARTICLES|GENERIC_STANDARD,40,,claude-haiku-4-5-20251001,3,3,True,3
A16,factual-lookup,pass,"Three temperature bands are defined: T1 (Low Grade, 40.0–60.0 degrees Celsius), T2 (Medium Grade, 60.0–90.0 degrees Celsius), and T3 (High Grade, 90.0–130.0 degrees Celsius).",True,False,True,True,TEMPERATURE_BAND_DEF|P2_thermal_compatibility_all|ALL_REGULATORY_ARTICLES|P3_regulatory_screening_dk|GENERIC_STANDARD,22,,claude-haiku-4-5-20251001,3,2,False,3
A17,factual-lookup,pass,500 kW,True,False,True,True,GENERIC_DC|P2_thermal_compatibility_all|P5_scenario_comparison_L|P6_full_is_path|P1_eed_art26_threshold,40,,claude-haiku-4-5-20251001,3,1,False,3
A18,factual-lookup,pass,liquid,True,False,True,True,GENERIC_DC|P2_thermal_compatibility_all|P6_full_is_path|P1_eed_art26_threshold|P5_scenario_comparison_L,40,,claude-haiku-4-5-20251001,3,2,False,3
A19,factual-lookup,pass,The waste heat capacity of the hyperscale data center archetype (DC-L) is 30000 kW.,True,False,True,True,GENERIC_DC|P5_scenario_comparison_L|P1_eed_art26_threshold|ALL_REGULATORY_ARTICLES|P4_incentives_it_whr,14,synthesis_or_metric,claude-haiku-4-5-20251001,3,3,True,3
A20,factual-lookup,pass,1.15,True,False,True,True,GENERIC_DC|P2_thermal_compatibility_all|P6_full_is_path|P1_eed_art26_threshold|P5_scenario_comparison_L,40,,claude-haiku-4-5-20251001,3,3,True,3
A21,factual-lookup,pass,300.0 EUR per toe,True,False,True,True,P4_incentives_it_whr|GENERIC_ACTOR|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS|DK_4GDH_PARAMS,11,,claude-haiku-4-5-20251001,3,2,False,3
A22,factual-lookup,pass,25.8 eur_per_mwh,True,False,True,True,P4_incentives_it_whr|GENERIC_ACTOR|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS|DK_4GDH_PARAMS,11,,claude-haiku-4-5-20251001,3,2,False,3
A23,factual-lookup,pass,"The eligible technologies for Italian TEE/CB (Titoli di Efficienza Energetica / Certificati Bianchi) white certificates are: waste-heat-recovery, heat-pump, and absorption-chiller.",True,False,True,True,P4_incentives_it_whr|GENERIC_ACTOR|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS|DK_4GDH_PARAMS,11,,claude-haiku-4-5-20251001,3,2,False,3
A24,factual-lookup,pass,Gestore Servizi Energetici S.p.A. (GSE) administers the Titoli di Efficienza Energetica / Certificati Bianchi (white certificate) system in Italy. GSE emette e verifica i Titoli di Efficienza Energetica.,True,False,False,True,GENERIC_ACTOR|P4_incentives_it_whr|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS|DK_4GDH_PARAMS,11,routing_under_retrieval,claude-haiku-4-5-20251001,3,1,False,3
A25,factual-lookup,pass,"5 Italian regulatory decrees on energy efficiency are in the knowledge graph: Decreto Ministeriale 21 maggio 2021, Decreto Direttoriale 3 maggio 2022, Decreto Direttoriale 4 maggio 2023, Decreto Direttoriale 13 ottobre 2023, and Decreto MASE 21 luglio 2025 Certificati Bianchi.",False,False,False,True,P4_incentives_it_whr|GENERIC_REGULATION|ALL_REGULATORY_ARTICLES|GENERIC_COUNTRY|GENERIC_STANDARD,20,routing_under_retrieval,claude-haiku-4-5-20251001,3,2,False,3
A26,factual-lookup,pass,Decreto Ministeriale 21 maggio 2021 (DM 2021),True,False,False,True,P4_incentives_it_whr|GENERIC_ACTOR|GENERIC_REGULATION|P3_regulatory_screening_dk|ALL_REGULATORY_ARTICLES,17,routing_under_retrieval,claude-haiku-4-5-20251001,3,2,False,3
A27,factual-lookup,pass,The mandatory DH connection threshold under Danish Varmeforsyningsloven is 1.0 MW. Heat sources greater than 1.0 MW in municipal DH planning areas must connect to the DH network if economically feasible.,True,False,True,True,P3_regulatory_screening_dk|P1_eed_art26_threshold|DK_DH_COMPARE|GENERIC_ACTOR|DK_4GDH_PARAMS,6,,claude-haiku-4-5-20251001,3,2,False,3
A28,factual-lookup,pass,The supply temperature of the Danish 4th generation district heating network is 60.0 degrees Celsius.,True,False,True,True,DK_4GDH_PARAMS|P3_regulatory_screening_dk|DK_3GDH_PARAMS|DK_DH_COMPARE|GENERIC_COUNTRY,6,,claude-haiku-4-5-20251001,3,2,False,3
A29,factual-lookup,pass,The return temperature of the Danish 4GDH network is 35.0 degrees Celsius.,True,False,True,True,DK_4GDH_PARAMS|P3_regulatory_screening_dk|DK_3GDH_PARAMS|DK_DH_COMPARE|GENERIC_ACTOR,5,,claude-haiku-4-5-20251001,3,3,True,3
A30,factual-lookup,pass,2030,True,False,False,True,DK_NECP_TARGET|P3_regulatory_screening_dk|IT_DK_SUPPORT_COMPARE|P6_full_is_path|GENERIC_REGULATION,38,routing_under_retrieval,claude-haiku-4-5-20251001,3,3,True,3
A31,factual-lookup,pass,The Danish Energy Agency (DK-DEA) enforces the Heat Supply Act (Varmeforsyningsloven) obligations.,True,False,False,True,GENERIC_ACTOR|P3_regulatory_screening_dk|DK_DH_COMPARE|DK_4GDH_PARAMS|DK_3GDH_PARAMS,5,routing_under_retrieval,claude-haiku-4-5-20251001,3,3,True,3
A32,factual-lookup,pass,The DH penetration rate in Denmark is 65.0%.,True,False,False,True,GENERIC_COUNTRY|P3_regulatory_screening_dk|GENERIC_REGULATION|DK_NECP_TARGET|IT_DK_SUPPORT_COMPARE,14,routing_under_retrieval,claude-haiku-4-5-20251001,3,3,True,3
A33,factual-lookup,pass,3rd Generation DH (3GDH),True,False,False,True,P3_regulatory_screening_dk|DK_3GDH_PARAMS|DK_4GDH_PARAMS|DK_DH_COMPARE|GENERIC_REGULATION,10,routing_under_retrieval,claude-haiku-4-5-20251001,3,1,False,3
A34,factual-lookup,pass,The supply temperature of the Danish 3GDH legacy network is 80.0 degrees Celsius.,True,False,True,True,DK_3GDH_PARAMS|P3_regulatory_screening_dk|DK_DH_COMPARE|DK_4GDH_PARAMS|P2_thermal_compatibility_all,12,,claude-haiku-4-5-20251001,3,3,True,3
B01,multi-hop-is,pass,REQUIRES_UPGRADE,False,False,True,True,P2_thermal_compatibility_S1|P2_thermal_compatibility_all|P6_full_is_path|P4_incentives_it_whr|P5_scenario_comparison_L,40,,claude-haiku-4-5-20251001,3,2,False,3
B02,multi-hop-is,pass,Scenario S5 involves datacenter DC-M and the process Paper Drying.,False,False,True,True,P2_thermal_compatibility_all|P6_full_is_path|P1_eed_art26_threshold|P2_thermal_compatibility_S1|P5_scenario_comparison_L,40,synthesis_or_metric,claude-haiku-4-5-20251001,3,3,True,3
B03,multi-hop-is,pass,CO2_HTHP,False,False,True,True,P5_scenario_comparison_L|P2_thermal_compatibility_all|P2_thermal_compatibility_S1|P6_full_is_path|ALL_REGULATORY_ARTICLES,40,,claude-haiku-4-5-20251001,3,3,True,3
B04,multi-hop-is,pass,9 of the 9 IS scenarios use liquid cooling with direct heat exchange (direct_HX).,False,False,False,True,P2_thermal_compatibility_S1|GENERIC_DC|P5_scenario_comparison_L|ISO50001_ARTICLES|P6_full_is_path,39,routing_under_retrieval,claude-haiku-4-5-20251001,3,1,False,3
B05,multi-hop-is,pass,"The available heat capacity in Scenario S7 (hyperscale DC, T1 band) is 29500.0 kw.",True,False,True,True,P5_scenario_comparison_L|GENERIC_DC|TEMPERATURE_BAND_DEF|P2_thermal_compatibility_S1|P2_thermal_compatibility_all,19,,claude-haiku-4-5-20251001,3,2,False,3
B06,multi-hop-is,pass,20.0 degrees Celsius,False,False,False,True,P2_thermal_compatibility_all|P2_thermal_compatibility_S1|P5_scenario_comparison_L|TEMPERATURE_BAND_DEF|DK_4GDH_PARAMS,17,borderline_derived,claude-haiku-4-5-20251001,3,1,False,3
B07,multi-hop-is,pass,Pulp and Paper Industry,True,False,True,True,P2_thermal_compatibility_all|P6_full_is_path|SCENARIO_COUNT_BY_SECTOR|P2_thermal_compatibility_S1|GENERIC_STANDARD,40,synthesis_or_metric,claude-haiku-4-5-20251001,3,3,True,3
B08,multi-hop-is,pass,"6 scenarios target processes in the Food, Drink and Milk sector.",False,False,True,True,P6_full_is_path|SCENARIO_COUNT_BY_SECTOR|P2_thermal_compatibility_all|ISO50001_PROCESS_COMPLIANCE|DK_NECP_TARGET,40,synthesis_or_metric,claude-haiku-4-5-20251001,3,3,True,3
B09,multi-hop-is,pass,Scenario S8 traces the following pathway: Hyperscale datacenter DC-L → Heat Pump (HP) upgrade technology in temperature band T2 → 29500.0 kW available heat at supply temperature 70.0°C → Pulp and Paper Industry sector for Paper Drying process (required temperature 90.0°C). Status: GAP (supply temperature insufficient for process requirement).,True,False,True,True,P5_scenario_comparison_L|P6_full_is_path|SCENARIO_COUNT_BY_SECTOR|P2_thermal_compatibility_all|P1_eed_art26_threshold,40,,claude-haiku-4-5-20251001,3,1,False,3
B10,multi-hop-is,pass,"Data centers DC-M and DC-L in Denmark's Varmeforsyningsloven framework must comply with EED Article 26 disclosure, as they are identified as compliant data centers at the 1.0 MW threshold and must disclose waste heat capacity annually.",True,False,True,True,P1_eed_art26_threshold|ALL_REGULATORY_ARTICLES|P3_regulatory_screening_dk|ISO50001_PROCESS_COMPLIANCE|GENERIC_COUNTRY,20,synthesis_or_metric,claude-haiku-4-5-20251001,3,1,False,3
B11,multi-hop-is,pass,"No. DC-S (Edge data center) has IT power of 500 kW (0.5 MW), which falls below the 1.0 MW threshold specified in EED Article 26. Only data centers with IT power >= 1.0 MW are subject to the mandatory annual waste heat capacity disclosure obligation.",True,False,True,True,P1_eed_art26_threshold|ALL_REGULATORY_ARTICLES|GENERIC_DC|P2_thermal_compatibility_all|P6_full_is_path,40,synthesis_or_metric,claude-haiku-4-5-20251001,3,1,False,3
B12,multi-hop-is,pass,"Under Danish Varmeforsyningsloven, data centers DC-M and DC-L (those with heat sources >1.0 MW in municipal DH planning areas) must connect to the DH network if economically feasible. Additionally, data centers with IT power >= 1.0 MW are subject to mandatory annual waste heat capacity disclosure.",True,False,True,True,P3_regulatory_screening_dk|P1_eed_art26_threshold|DK_DH_COMPARE|GENERIC_ACTOR|P2_thermal_compatibility_all,15,,claude-haiku-4-5-20251001,3,1,False,3
B13,multi-hop-is,pass,"Yes, Italian TEE/CB incentives can be claimed for a heat pump upgrade. Heat pump is listed as an eligible technology under Titoli di Efficienza Energetica / Certificati Bianchi, with a value of 300.0 eur_per_toe and 25.8 eur_per_mwh, governed by DM 2021 (fondante) and DM MASE 2025, and administered by GSE.",True,False,False,True,P2_thermal_compatibility_all|P4_incentives_it_whr|GENERIC_ACTOR|P5_scenario_comparison_L|GENERIC_DC,18,routing_under_retrieval,claude-haiku-4-5-20251001,3,1,False,3
B14,multi-hop-is,pass,"Yes, waste heat recovery is directly eligible for Italian white certificates (Titoli di Efficienza Energetica / Certificati Bianchi), as it is listed among the eligible_technologies ['waste-heat-recovery', 'heat-pump', 'absorption-chiller'] and is managed by GSE (Gestore Servizi Energetici S.p.A.).",True,False,True,True,P4_incentives_it_whr|GENERIC_DC|P1_eed_art26_threshold|GENERIC_ACTOR|ALL_REGULATORY_ARTICLES,13,,claude-haiku-4-5-20251001,3,1,False,3
B15,multi-hop-is,pass,25.8 EUR/MWh,False,False,True,True,P4_incentives_it_whr|GENERIC_DC|GENERIC_ACTOR|P2_thermal_compatibility_all|P1_eed_art26_threshold,16,,claude-haiku-4-5-20251001,3,3,True,3
B16,multi-hop-is,pass,"EED-2023-1791 Article 26 and DEL-REG-2024-1364 Article 2 mandate KPI reporting for hyperscale DCs. The specific KPIs required are: TWH (T_CDU_return), ERF, and EREUSE. Additionally, DCs with IT power >= 1.0 MW must disclose waste heat capacity annually.",True,False,True,True,ALL_REGULATORY_ARTICLES|P5_scenario_comparison_L|GENERIC_REGULATION|P2_thermal_compatibility_all|GENERIC_DC,28,,claude-haiku-4-5-20251001,3,1,False,3
B17,multi-hop-is,pass,"The Danish 4GDH network is governed by the Varmeforsyningsloven (Heat Supply Act) at the national level, which establishes the DH Connection Mandate with a threshold of 1.0 MW. At the EU level, it is subject to the Energy Efficiency Directive 2023/1791 (EED-2023-1791), which Denmark has transposed and which covers Data Centers and Heating and Cooling.",True,False,False,True,DK_4GDH_PARAMS|P3_regulatory_screening_dk|GENERIC_REGULATION|GENERIC_COUNTRY|DK_DH_COMPARE,13,routing_under_retrieval,claude-haiku-4-5-20251001,3,1,False,3
B18,multi-hop-is,pass,"Two mandatory regulatory obligations apply to a 5 MW data center operating in Denmark: (1) the DH Connection Mandate under Varmeforsyningsloven requiring connection to DH network if economically feasible, and (2) the mandatory annual disclosure of waste heat capacity.",True,False,False,True,P3_regulatory_screening_dk|P2_thermal_compatibility_all|P6_full_is_path|DK_4GDH_PARAMS|P1_eed_art26_threshold,39,routing_under_retrieval,claude-haiku-4-5-20251001,3,2,False,3
B19,multi-hop-is,pass,47.6 degrees Celsius,False,False,True,True,P2_thermal_compatibility_all|P6_full_is_path|DK_4GDH_PARAMS|P5_scenario_comparison_L|DK_DH_COMPARE,40,synthesis_or_metric,claude-haiku-4-5-20251001,3,2,False,3
B20,multi-hop-is,pass,3,False,False,True,True,P5_scenario_comparison_L|P6_full_is_path|P1_eed_art26_threshold|P2_thermal_compatibility_all|GENERIC_DC,40,,claude-haiku-4-5-20251001,3,2,False,3
B21,multi-hop-is,abstain,Not available in the knowledge graph.,False,True,True,True,TEMPERATURE_BAND_DEF|P6_full_is_path|P2_thermal_compatibility_all|ISO50001_PROCESS_COMPLIANCE|P4_incentives_it_whr,40,synthesis_or_metric,claude-haiku-4-5-20251001,3,3,True,3
B22,multi-hop-is,pass,"For a mid-size data centre with HP upgrade, the reachable manufacturing processes are: Pasteurization (scenario S4), Paper Drying (scenario S5), and Sterilization (scenario S6).",False,False,False,True,GENERIC_DC|ISO50001_PROCESS_COMPLIANCE|P2_thermal_compatibility_all|P5_scenario_comparison_L|P6_full_is_path,40,routing_under_retrieval,claude-haiku-4-5-20251001,3,1,False,3
B23,multi-hop-is,pass,20.0 degrees Celsius,False,False,False,False,P2_thermal_compatibility_all|P6_full_is_path|GENERIC_ACTOR|P3_regulatory_screening_dk|DK_DH_COMPARE,40,borderline_derived,claude-haiku-4-5-20251001,3,3,True,3
B24,multi-hop-is,pass,"No. DC-S has an available waste heat supply temperature of 47.6°C, while Danish 4GDH requires 60.0°C supply temperature. Although the enabling condition notes that ~47°C is directly compatible without heat pump for DC LC, scenario S1 shows status GAP, indicating the temperature difference cannot be bridged without upgrade technology (direct_HX in this case).",False,False,False,True,DK_4GDH_PARAMS|P2_thermal_compatibility_all|P3_regulatory_screening_dk|DK_DH_COMPARE|P5_scenario_comparison_L,15,routing_under_retrieval,claude-haiku-4-5-20251001,3,1,False,3
B25,multi-hop-is,pass,HP (heat pump) is the upgrade technology that would allow DC-M waste heat to reach T2 band compatibility.,False,False,False,False,P2_thermal_compatibility_all|P5_scenario_comparison_L|P4_incentives_it_whr|GENERIC_DC|P1_eed_art26_threshold,17,,claude-haiku-4-5-20251001,3,1,False,3
B26,multi-hop-is,abstain,Not available in the knowledge graph.,False,True,True,True,P6_full_is_path|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS|DK_4GDH_PARAMS|DK_DH_COMPARE,35,synthesis_or_metric,claude-haiku-4-5-20251001,3,3,True,3
B27,multi-hop-is,pass,"Food, Drink and Milk sector has the highest temperature requirement at 130.0°C (Sterilization process in scenario S9)",True,False,True,True,SCENARIO_COUNT_BY_SECTOR|P6_full_is_path|P5_scenario_comparison_L|P3_regulatory_screening_dk|P2_thermal_compatibility_all,40,,claude-haiku-4-5-20251001,3,2,False,3
B28,multi-hop-is,pass,3,False,False,True,True,SCENARIO_COUNT_BY_SECTOR|P6_full_is_path|P2_thermal_compatibility_all|P5_scenario_comparison_L|ALL_REGULATORY_ARTICLES,40,synthesis_or_metric,claude-haiku-4-5-20251001,3,3,True,3
B29,multi-hop-is,pass,"The profile types of all heat sources derived from liquid-cooled data centers are: Edge (DC-S), Mid-size (DC-M), and Hyperscale (DC-L).",False,False,False,False,P3_regulatory_screening_dk|P1_eed_art26_threshold|GENERIC_DC|P4_incentives_it_whr|P6_full_is_path,33,projection_gap,claude-haiku-4-5-20251001,3,2,False,3
B30,multi-hop-is,abstain,Not available in the knowledge graph.,False,True,False,True,P2_thermal_compatibility_all|P4_incentives_it_whr|DK_4GDH_PARAMS|DK_3GDH_PARAMS|P5_scenario_comparison_L,15,borderline_derived,claude-haiku-4-5-20251001,3,3,True,3
B31,multi-hop-is,pass,"A Danish hyperscale DC would need to comply with Varmeforsyningsloven — Heat Supply Act (Heat Supply Act) with its DH Connection Mandate, which requires heat sources >1.0 MW in municipal DH planning areas to connect to the DH network if economically feasible.",True,False,True,True,P3_regulatory_screening_dk|P5_scenario_comparison_L|ISO50001_PROCESS_COMPLIANCE|GENERIC_STANDARD|GENERIC_DC,19,,claude-haiku-4-5-20251001,3,1,False,3
B32,multi-hop-is,pass,"Yes, Denmark has a transposed EED according to the knowledge graph (eed_transposed True).",True,False,False,True,GENERIC_COUNTRY|P3_regulatory_screening_dk|GENERIC_REGULATION|ALL_REGULATORY_ARTICLES|GENERIC_STANDARD,20,routing_under_retrieval,claude-haiku-4-5-20251001,3,2,False,3
B33,multi-hop-is,pass,The DH penetration rate in Italy is 5.0%,False,False,False,False,GENERIC_COUNTRY|P3_regulatory_screening_dk|P4_incentives_it_whr|GENERIC_REGULATION|IT_DK_SUPPORT_COMPARE,14,borderline_derived,claude-haiku-4-5-20251001,3,2,False,3
C01,comparative,pass,"The three hyperscale scenarios S7, S8, and S9 each have an available heat capacity of 29500.0 kw. The available heat capacity is identical across all three scenarios.",True,False,True,True,P5_scenario_comparison_L|GENERIC_DC|DK_DH_COMPARE|P2_thermal_compatibility_all|IT_DK_SUPPORT_COMPARE,19,,claude-haiku-4-5-20251001,3,1,False,3
C02,comparative,pass,"Scenarios S3, S6, and S9 all provide the highest supply temperature for industrial use at 110.0 degrees Celsius, each using the Sterilization process with CO2_HTHP upgrade technology.",True,False,True,True,P2_thermal_compatibility_all|P5_scenario_comparison_L|DK_4GDH_PARAMS|DK_DH_COMPARE|DK_3GDH_PARAMS,14,,claude-haiku-4-5-20251001,3,1,False,3
C03,comparative,pass,"Edge data center (DC-S) has recoverable waste heat capacity of 590 kW, while Hyperscale data center (DC-L) has recoverable waste heat capacity of 30000 kW. The Hyperscale facility produces approximately 50.8 times more recoverable heat than the Edge facility.",True,False,False,True,GENERIC_DC|P5_scenario_comparison_L|P3_regulatory_screening_dk|P1_eed_art26_threshold|DK_DH_COMPARE,10,routing_under_retrieval,claude-haiku-4-5-20251001,3,1,False,3
C04,comparative,abstain,Not available in the knowledge graph.,False,True,True,True,P1_eed_art26_threshold|ALL_REGULATORY_ARTICLES|P2_thermal_compatibility_all|P6_full_is_path|P5_scenario_comparison_L,40,,claude-haiku-4-5-20251001,3,3,True,3
C05,comparative,pass,"Direct heat exchange (direct_HX) is applied only to Pasteurization processes requiring 60.0 degrees Celsius. The thermal gap is 12.4 degrees Celsius (60.0 required minus 47.6 supplied) across all three datacenter scales (Edge, Mid-size, Hyperscale). This gap exists only for band T1 (Low Grade); direct_HX is not used for bands T2 (Medium Grade) or T3 (High Grade), which employ heat pump (HP) and CO2 high-temperature heat pump (CO2_HTHP) technologies respectively.",True,False,False,True,TEMPERATURE_BAND_DEF|P2_thermal_compatibility_S1|P2_thermal_compatibility_all|GENERIC_DC|DK_DH_COMPARE,18,routing_under_retrieval,claude-haiku-4-5-20251001,3,1,False,3
C06,comparative,pass,"HP (Heat Pump) is the upgrade technology used for T2 band processes. For the Paper Drying process in T2 band, HP achieves a supply temperature of 70.0 degrees Celsius against a required temperature of 90.0 degrees Celsius, resulting in a thermal gap of 20.0 degrees Celsius.",False,False,False,True,P2_thermal_compatibility_all|P5_scenario_comparison_L|TEMPERATURE_BAND_DEF|P6_full_is_path|ISO50001_PROCESS_COMPLIANCE,40,borderline_derived,claude-haiku-4-5-20251001,3,1,False,3
C07,comparative,pass,"The Food, Drink and Milk sector targets 6 scenarios (S1, S4, S7, S3, S6, S9), while the Pulp and Paper Industry sector targets 3 scenarios (S2, S5, S8). The Food sector has twice as many scenarios as the Paper sector.",True,False,True,True,SCENARIO_COUNT_BY_SECTOR|P6_full_is_path|P2_thermal_compatibility_all|ISO50001_PROCESS_COMPLIANCE|DK_DH_COMPARE,40,synthesis_or_metric,claude-haiku-4-5-20251001,3,3,True,3
C08,comparative,abstain,Not available in the knowledge graph.,False,True,True,True,P2_thermal_compatibility_all|P6_full_is_path|P5_scenario_comparison_L|P2_thermal_compatibility_S1|P1_eed_art26_threshold,40,,claude-haiku-4-5-20251001,3,2,False,3
C09,comparative,pass,"With HP upgrade technology, available heat capacity scales from 590 kW at Edge scale (DC-S), to 3840 kW at Mid-size scale (DC-M), to 30000 kW at Hyperscale (DC-L).",True,False,True,True,GENERIC_DC|P5_scenario_comparison_L|P2_thermal_compatibility_all|GENERIC_STANDARD|ALL_REGULATORY_ARTICLES,24,synthesis_or_metric,claude-haiku-4-5-20251001,3,1,False,3
C10,comparative,pass,"Denmark has a district heating penetration rate of 65.0%, while Italy has a district heating penetration rate of 5.0%. Denmark's DH penetration is 13 times higher than Italy's.",True,False,False,True,GENERIC_COUNTRY|P3_regulatory_screening_dk|P4_incentives_it_whr|GENERIC_REGULATION|IT_DK_SUPPORT_COMPARE,14,routing_under_retrieval,claude-haiku-4-5-20251001,3,1,False,3
C11,comparative,abstain,Not available in the knowledge graph.,False,True,False,True,GENERIC_COUNTRY|P3_regulatory_screening_dk|GENERIC_REGULATION|P1_eed_art26_threshold|IT_DK_SUPPORT_COMPARE,14,routing_under_retrieval,claude-haiku-4-5-20251001,3,3,True,3
C12,comparative,pass,"Italy employs a financial incentive framework (Titoli di Efficienza Energetica / Certificati Bianchi) providing 25.8 EUR/MWh for waste-heat-recovery, heat-pump, and absorption-chiller technologies. Denmark uses a regulatory mandate framework (Varmeforsyningsloven — Heat Supply Act) requiring heat sources >1MW in municipal DH planning areas to connect to district heating networks if economically feasible. Italy's policy is incentive-based while Denmark's is obligation-based, with Denmark achieving 65.0% district heating penetration versus Italy's 5.0%.",True,False,False,True,IT_DK_SUPPORT_COMPARE|P3_regulatory_screening_dk|P4_incentives_it_whr|GENERIC_REGULATION|GENERIC_COUNTRY,14,routing_under_retrieval,claude-haiku-4-5-20251001,3,1,False,3
