question_id,category,status,final_answer,em_final,abstained,em_context_only_canonical,ctx_contains_gt_keywords,pool,union_rows,step_3_19_bucket,gen_model
A17,factual-lookup,pass,The IT capacity of the Edge data center archetype (DC-S) is 500 kW.,True,False,True,True,GENERIC_DC|P2_thermal_compatibility_all|P5_scenario_comparison_L|P6_full_is_path|P1_eed_art26_threshold,40,,claude-haiku-4-5-20251001
A18,factual-lookup,pass,"Cooling liquid is used by all three data center archetypes (DC-S, DC-M, and DC-L) in the framework.",True,False,True,True,GENERIC_DC|P2_thermal_compatibility_all|P6_full_is_path|P1_eed_art26_threshold|P5_scenario_comparison_L,40,,claude-haiku-4-5-20251001
A19,factual-lookup,pass,"The waste heat capacity of the hyperscale data center archetype (DC-L) is 30,000 kW.",True,False,True,True,GENERIC_DC|P5_scenario_comparison_L|P1_eed_art26_threshold|ALL_REGULATORY_ARTICLES|P4_incentives_it_whr,14,synthesis_or_metric,claude-haiku-4-5-20251001
A20,factual-lookup,pass,The nominal PUE of the mid-size data center (DC-M) is 1.15.,True,False,True,True,GENERIC_DC|P2_thermal_compatibility_all|P6_full_is_path|P1_eed_art26_threshold|P5_scenario_comparison_L,40,,claude-haiku-4-5-20251001
A21,factual-lookup,pass,The value of Italian white certificates (Titoli di Efficienza Energetica / Certificati Bianchi) is **300.0 EUR per toe**.,True,False,True,True,P4_incentives_it_whr|GENERIC_ACTOR|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS|DK_4GDH_PARAMS,11,,claude-haiku-4-5-20251001
A22,factual-lookup,pass,The EUR per MWh value of Italian TEE/CB (Titoli di Efficienza Energetica / Certificati Bianchi) incentives is 25.8 EUR/MWh.,True,False,True,True,P4_incentives_it_whr|GENERIC_ACTOR|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS|DK_4GDH_PARAMS,11,,claude-haiku-4-5-20251001
A23,factual-lookup,pass,"The eligible technologies for Italian TEE/CB white certificates (Titoli di Efficienza Energetica / Certificati Bianchi) are: waste-heat-recovery, heat-pump, and absorption-chiller.",True,False,True,True,P4_incentives_it_whr|GENERIC_ACTOR|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS|DK_4GDH_PARAMS,11,,claude-haiku-4-5-20251001
A24,factual-lookup,pass,"Gestore Servizi Energetici S.p.A. (GSE) is the Italian body that administers the white certificate (Titoli di Efficienza Energetica / Certificati Bianchi) system, as it emits and verifies these energy efficiency certificates.",True,False,False,True,GENERIC_ACTOR|P4_incentives_it_whr|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS|DK_4GDH_PARAMS,11,routing_under_retrieval,claude-haiku-4-5-20251001
A25,factual-lookup,pass,"4 Italian regulatory decrees on energy efficiency are in the knowledge graph: IT-DM-2021-05-21, IT-DD-2022-05-03, IT-DD-2023-05-04, and IT-DD-2023-10-13.",True,False,False,True,P4_incentives_it_whr|GENERIC_REGULATION|ALL_REGULATORY_ARTICLES|GENERIC_COUNTRY|GENERIC_STANDARD,20,routing_under_retrieval,claude-haiku-4-5-20251001
A26,factual-lookup,pass,"DM 2021 (fondante) — the Decreto Ministeriale 21 maggio 2021 (IT-DM-2021-05-21) is the founding act of the Titoli di Efficienza Energetica / Certificati Bianchi (TEE/CB) system, as indicated in the governing_decrees field of the incentive row.",True,False,False,True,P4_incentives_it_whr|GENERIC_ACTOR|GENERIC_REGULATION|P3_regulatory_screening_dk|ALL_REGULATORY_ARTICLES,17,routing_under_retrieval,claude-haiku-4-5-20251001
A27,factual-lookup,pass,The mandatory DH connection threshold under Danish Varmeforsyningsloven is 1.0 MW; heat sources exceeding this threshold in municipal DH planning areas must connect to the DH network if economically feasible.,True,False,True,True,P3_regulatory_screening_dk|P1_eed_art26_threshold|DK_DH_COMPARE|GENERIC_ACTOR|DK_4GDH_PARAMS,6,,claude-haiku-4-5-20251001
A28,factual-lookup,pass,The supply temperature of the Danish 4th Generation DH (4GDH) is 60.0 degrees Celsius.,True,False,True,True,DK_4GDH_PARAMS|P3_regulatory_screening_dk|DK_3GDH_PARAMS|DK_DH_COMPARE|GENERIC_COUNTRY,6,,claude-haiku-4-5-20251001
A29,factual-lookup,pass,The return temperature of the Danish 4th Generation DH (4GDH) network is 35.0 degrees Celsius.,True,False,True,True,DK_4GDH_PARAMS|P3_regulatory_screening_dk|DK_3GDH_PARAMS|DK_DH_COMPARE|GENERIC_ACTOR,5,,claude-haiku-4-5-20251001
A30,factual-lookup,pass,"Denmark's GHG reduction target horizon year in the NECP 2024 is 2030, with a target of 70% GHG reduction by that year.",True,False,False,True,DK_NECP_TARGET|P3_regulatory_screening_dk|IT_DK_SUPPORT_COMPARE|P6_full_is_path|GENERIC_REGULATION,38,routing_under_retrieval,claude-haiku-4-5-20251001
A31,factual-lookup,pass,The Danish Energy Agency (DK-DEA) enforces the Heat Supply Act (Varmeforsyningsloven) obligations.,True,False,False,True,GENERIC_ACTOR|P3_regulatory_screening_dk|DK_DH_COMPARE|DK_4GDH_PARAMS|DK_3GDH_PARAMS,5,routing_under_retrieval,claude-haiku-4-5-20251001
A32,factual-lookup,pass,The DH penetration rate in Denmark is 65.0%.,True,False,False,True,GENERIC_COUNTRY|P3_regulatory_screening_dk|GENERIC_REGULATION|DK_NECP_TARGET|IT_DK_SUPPORT_COMPARE,14,routing_under_retrieval,claude-haiku-4-5-20251001
A33,factual-lookup,pass,"The legacy Danish district heating network is 3rd Generation DH (3GDH), with a supply temperature of 80°C and return temperature of 40°C.",True,False,False,True,P3_regulatory_screening_dk|DK_3GDH_PARAMS|DK_4GDH_PARAMS|DK_DH_COMPARE|GENERIC_REGULATION,10,routing_under_retrieval,claude-haiku-4-5-20251001
A34,factual-lookup,pass,The supply temperature of the Danish 3rd Generation DH (3GDH) legacy network is 80.0 degrees Celsius.,True,False,True,True,DK_3GDH_PARAMS|P3_regulatory_screening_dk|DK_DH_COMPARE|DK_4GDH_PARAMS|P2_thermal_compatibility_all,12,,claude-haiku-4-5-20251001
B01,multi-hop-is,pass,The thermal compatibility status of Scenario S1 using direct heat exchange is REQUIRES_UPGRADE.,False,False,True,True,P2_thermal_compatibility_S1|P2_thermal_compatibility_all|P6_full_is_path|P4_incentives_it_whr|P5_scenario_comparison_L,40,,claude-haiku-4-5-20251001
B02,multi-hop-is,pass,Scenario S5 involves datacenter DC-M and the process Paper Drying.,False,False,True,True,P2_thermal_compatibility_all|P6_full_is_path|P1_eed_art26_threshold|P2_thermal_compatibility_S1|P5_scenario_comparison_L,40,synthesis_or_metric,claude-haiku-4-5-20251001
B03,multi-hop-is,pass,"Scenario S9 is associated with three upgrade technologies: **CO2_HTHP** (primary), **HP**, and **direct_HX**, depending on the temperature band and configuration. However, the core process in S9 (Sterilization at 130°C) uses **CO2_HTHP** as its designated upgrade technology.",True,False,True,True,P5_scenario_comparison_L|P2_thermal_compatibility_all|P2_thermal_compatibility_S1|P6_full_is_path|ALL_REGULATORY_ARTICLES,40,,claude-haiku-4-5-20251001
B04,multi-hop-is,pass,"3 scenarios use liquid cooling with direct heat exchange: S1, S2, and S3 (all Edge datacenter DC-S with direct_HX upgrade and band T1).",True,False,False,True,P2_thermal_compatibility_S1|GENERIC_DC|P5_scenario_comparison_L|ISO50001_ARTICLES|P6_full_is_path,39,routing_under_retrieval,claude-haiku-4-5-20251001
B05,multi-hop-is,pass,"The available heat capacity in Scenario S7 is 29,500 kW (available_kw 29500.0).",True,False,True,True,P5_scenario_comparison_L|GENERIC_DC|TEMPERATURE_BAND_DEF|P2_thermal_compatibility_S1|P2_thermal_compatibility_all,19,,claude-haiku-4-5-20251001
B06,multi-hop-is,pass,"For Scenario S3, the gap between supply temperature and process requirement is 20.0°C (supply_c: 110.0°C vs required_c: 130.0°C).",False,False,False,True,P2_thermal_compatibility_all|P2_thermal_compatibility_S1|P5_scenario_comparison_L|TEMPERATURE_BAND_DEF|DK_4GDH_PARAMS,17,borderline_derived,claude-haiku-4-5-20251001
B07,multi-hop-is,pass,"Scenario S2 has the target process Paper Drying, which belongs to the Pulp and Paper Industry sector.",True,False,True,True,P2_thermal_compatibility_all|P6_full_is_path|SCENARIO_COUNT_BY_SECTOR|P2_thermal_compatibility_S1|GENERIC_STANDARD,40,synthesis_or_metric,claude-haiku-4-5-20251001
B08,multi-hop-is,pass,"6 scenarios target processes in the Food, Drink and Milk sector: S1, S3, S4, S6, S7, S9.",True,False,True,True,P6_full_is_path|SCENARIO_COUNT_BY_SECTOR|P2_thermal_compatibility_all|ISO50001_PROCESS_COMPLIANCE|DK_NECP_TARGET,40,synthesis_or_metric,claude-haiku-4-5-20251001
B09,multi-hop-is,pass,"Scenario S8 follows this industrial-symbiosis pathway: Datacenter DC-L (Hyperscale scale) supplies heat to the Paper Drying process in the Pulp and Paper Industry sector, using HP (Heat Pump) upgrade technology with a supply temperature of 70.0°C to meet the required process temperature of 90.0°C.",True,False,True,True,P5_scenario_comparison_L|P6_full_is_path|SCENARIO_COUNT_BY_SECTOR|P2_thermal_compatibility_all|P1_eed_art26_threshold,40,,claude-haiku-4-5-20251001
B10,multi-hop-is,abstain,"Not available in the knowledge graph.

The rows show that EED Article 26 requires data centers with IT power ≥ 1 MW to disclose waste heat capacity annually, and that Denmark's Heat Supply Act identifies compliant data centers as ['DC-M', 'DC-L']. However, the knowledge graph does not explicitly state which specific data centers must comply with EED Article 26 disclosure requirements.",True,True,True,True,P1_eed_art26_threshold|ALL_REGULATORY_ARTICLES|P3_regulatory_screening_dk|ISO50001_PROCESS_COMPLIANCE|GENERIC_COUNTRY,20,synthesis_or_metric,claude-haiku-4-5-20251001
B11,multi-hop-is,pass,"No, DC-S does not fall under EED Article 26 mandatory disclosure. EED Article 26 requires data centers with IT power ≥ 1.0 MW to disclose waste heat capacity annually, but DC-S has only 500 kW of IT power, falling below the 1.0 MW threshold.",True,False,True,True,P1_eed_art26_threshold|ALL_REGULATORY_ARTICLES|GENERIC_DC|P2_thermal_compatibility_all|P6_full_is_path,40,synthesis_or_metric,claude-haiku-4-5-20251001
B12,multi-hop-is,pass,"Under Danish Varmeforsyningsloven, data centers DC-M and DC-L must connect to the DH network, as these are the compliant_dcs listed in the Heat Supply Act framework for heat sources >1MW in municipal DH planning areas where economically feasible.",True,False,True,True,P3_regulatory_screening_dk|P1_eed_art26_threshold|DK_DH_COMPARE|GENERIC_ACTOR|P2_thermal_compatibility_all,15,,claude-haiku-4-5-20251001
B13,multi-hop-is,pass,"Yes, Italian TEE/CB (Titoli di Efficienza Energetica / Certificati Bianchi) incentives can be claimed for a heat pump upgrade in an IS project. Heat pump is listed among the eligible technologies (€25.8/MWh or €300/toe) under the governing decrees DM 2021 and DM MASE 2025, managed by GSE (Gestore Servizi Energetici S.p.A.).",True,False,False,True,P2_thermal_compatibility_all|P4_incentives_it_whr|GENERIC_ACTOR|P5_scenario_comparison_L|GENERIC_DC,18,routing_under_retrieval,claude-haiku-4-5-20251001
B14,multi-hop-is,pass,"Yes, waste heat recovery is directly eligible for Italian white certificates (Titoli di Efficienza Energetica / Certificati Bianchi), as it is listed among the eligible_technologies: ['waste-heat-recovery', 'heat-pump', 'absorption-chiller'].",True,False,True,True,P4_incentives_it_whr|GENERIC_DC|P1_eed_art26_threshold|GENERIC_ACTOR|ALL_REGULATORY_ARTICLES,13,,claude-haiku-4-5-20251001
B15,multi-hop-is,pass,The financial value of recovering waste heat from a mid-size DC in Italy under Titoli di Efficienza Energetica / Certificati Bianchi (TEE/CB) is **25.8 EUR/MWh**.,True,False,True,True,P4_incentives_it_whr|GENERIC_DC|GENERIC_ACTOR|P2_thermal_compatibility_all|P1_eed_art26_threshold,16,,claude-haiku-4-5-20251001
B16,multi-hop-is,pass,"DEL-REG-2024-1364 (Delegated Regulation (EU) 2024/1364) mandates KPI reporting, requiring the specific KPIs: TWH (T_CDU_return), ERF, and EREUSE as defined in Article 2.",True,False,True,True,ALL_REGULATORY_ARTICLES|P5_scenario_comparison_L|GENERIC_REGULATION|P2_thermal_compatibility_all|GENERIC_DC,28,,claude-haiku-4-5-20251001
B17,multi-hop-is,pass,"The Danish 4th Generation DH (4GDH) network is governed by the **Varmeforsyningsloven — Heat Supply Act** framework, which includes a DH Connection Mandate requiring heat sources >1MW in municipal DH planning areas to connect to the DH network if economically feasible.",True,False,False,True,DK_4GDH_PARAMS|P3_regulatory_screening_dk|GENERIC_REGULATION|GENERIC_COUNTRY|DK_DH_COMPARE,13,routing_under_retrieval,claude-haiku-4-5-20251001
B18,multi-hop-is,pass,"2 mandatory regulatory obligations apply to a 5 MW data center operating in Denmark: (1) DH Connection Mandate under Varmeforsyningsloven — Heat Supply Act (threshold 1.0 MW), and (2) Data Centers disclosure obligation (threshold 1.0 MW).",True,False,False,True,P3_regulatory_screening_dk|P2_thermal_compatibility_all|P6_full_is_path|DK_4GDH_PARAMS|P1_eed_art26_threshold,39,routing_under_retrieval,claude-haiku-4-5-20251001
B19,multi-hop-is,pass,The supply temperature of the heat source associated with Scenario S4 is 47.6°C.,False,False,True,True,P2_thermal_compatibility_all|P6_full_is_path|DK_4GDH_PARAMS|P5_scenario_comparison_L|DK_DH_COMPARE,40,synthesis_or_metric,claude-haiku-4-5-20251001
B20,multi-hop-is,abstain,"Not available in the knowledge graph.

The rows provided do not contain information about ""heat source nodes"" or their linkages to datacenters. The data describes scenarios, processes, upgrade technologies, and temperature parameters, but does not define or count heat source nodes.",False,True,True,True,P5_scenario_comparison_L|P6_full_is_path|P1_eed_art26_threshold|P2_thermal_compatibility_all|GENERIC_DC,40,,claude-haiku-4-5-20251001
B21,multi-hop-is,abstain,"Not available in the knowledge graph.

The rows provided do not contain any information about a heat source labeled ""HS-M-HP"" or its linkage to a temperature band.",False,True,True,True,TEMPERATURE_BAND_DEF|P6_full_is_path|P2_thermal_compatibility_all|ISO50001_PROCESS_COMPLIANCE|P4_incentives_it_whr,40,synthesis_or_metric,claude-haiku-4-5-20251001
B22,multi-hop-is,pass,"For a mid-size datacenter (DC-M) with HP upgrade, 3 manufacturing processes are reachable: Pasteurization (S4), Paper Drying (S5), and Sterilization (S6).",False,False,False,True,GENERIC_DC|ISO50001_PROCESS_COMPLIANCE|P2_thermal_compatibility_all|P5_scenario_comparison_L|P6_full_is_path,40,routing_under_retrieval,claude-haiku-4-5-20251001
B23,multi-hop-is,abstain,"Not available in the knowledge graph.

The rows contain supply_c and required_c values for scenarios, but there is no row that specifically identifies ""HS-L-CO2_HTHP"" as a heat source. The CO2_HTHP upgrade technology appears in scenarios S3, S6, and S9 with a supply_c of 110.0 and required_c of 130.0 for Sterilization, but without explicit confirmation that ""HS-L-CO2_HTHP"" refers to one of these, the delta cannot be definitively calculated from the provided data.",False,True,False,False,P2_thermal_compatibility_all|P6_full_is_path|GENERIC_ACTOR|P3_regulatory_screening_dk|DK_DH_COMPARE,40,borderline_derived,claude-haiku-4-5-20251001
B24,multi-hop-is,pass,"Yes, a direct connection between DC-S and Danish 4GDH is thermally feasible without upgrade. The 4GDH supply temperature of 47°C is directly compatible with DC-S's Pasteurization process requirement of 60°C when using a direct heat exchanger (direct_HX), as stated in the enabling condition notes.",False,False,False,True,DK_4GDH_PARAMS|P2_thermal_compatibility_all|P3_regulatory_screening_dk|DK_DH_COMPARE|P5_scenario_comparison_L,15,routing_under_retrieval,claude-haiku-4-5-20251001
B25,multi-hop-is,pass,"Based on the rows provided, scenario S5 shows that DC-M (Mid-size datacenter) with upgrade technology **HP (Heat Pump)** is associated with the Paper Drying process in temp_band T2, which requires a process temperature of 90.0°C. Therefore, **HP (Heat Pump)** is the upgrade technology that would allow DC-M waste heat to reach T2 band compatibility.",False,False,False,False,P2_thermal_compatibility_all|P5_scenario_comparison_L|P4_incentives_it_whr|GENERIC_DC|P1_eed_art26_threshold,17,,claude-haiku-4-5-20251001
B26,multi-hop-is,abstain,"Not available in the knowledge graph.

The provided rows contain information about datacenters, industrial processes, regulations, and district heating systems, but do not include any PRODUCES_HEAT relationships or their counts between DataCenter and HeatSource nodes.",False,True,True,True,P6_full_is_path|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS|DK_4GDH_PARAMS|DK_DH_COMPARE,35,synthesis_or_metric,claude-haiku-4-5-20251001
B27,multi-hop-is,pass,"Based on the rows provided, the Food, Drink and Milk sector has the highest temperature requirement at 130.0°C for the Sterilization process (scenario S9), compared to the Pulp and Paper Industry's highest requirement of 90.0°C for Paper Drying (scenario S8).",True,False,True,True,SCENARIO_COUNT_BY_SECTOR|P6_full_is_path|P5_scenario_comparison_L|P3_regulatory_screening_dk|P2_thermal_compatibility_all,40,,claude-haiku-4-5-20251001
B28,multi-hop-is,pass,"3 IS scenarios involve the Pulp and Paper sector: S2, S5, S8.",True,False,True,True,SCENARIO_COUNT_BY_SECTOR|P6_full_is_path|P2_thermal_compatibility_all|P5_scenario_comparison_L|ALL_REGULATORY_ARTICLES,40,synthesis_or_metric,claude-haiku-4-5-20251001
B29,multi-hop-is,abstain,"Not available in the knowledge graph.

The rows provided contain cooling type information (all listed data centers use ""cooling liquid""), but they do not include a ""profile type"" field or attribute for heat sources. The data shows cooling methods and waste heat capacity, but not heat source profile classifications.",False,True,False,False,P3_regulatory_screening_dk|P1_eed_art26_threshold|GENERIC_DC|P4_incentives_it_whr|P6_full_is_path,33,true_coverage_gap,claude-haiku-4-5-20251001
B30,multi-hop-is,pass,"Based on the knowledge graph, scenario S5 uses DC-M with a heat pump (HP) upgrade technology and has a supply capacity of 70.0 MW. At 25.8 EUR/MWh with 7000 operating hours, the maximum incentive revenue would be: 70.0 MW × 7000 hours × 25.8 EUR/MWh = **12,684,000 EUR**.",True,False,False,True,P2_thermal_compatibility_all|P4_incentives_it_whr|DK_4GDH_PARAMS|DK_3GDH_PARAMS|P5_scenario_comparison_L,15,borderline_derived,claude-haiku-4-5-20251001
B31,multi-hop-is,pass,"A Danish hyperscale DC (DC-L) would need to comply with the **Varmeforsyningsloven — Heat Supply Act** framework, which mandates DH connection for heat sources >1.0 MW in municipal DH planning areas if economically feasible. DC-L generates 30,000 kW of waste heat, well above this threshold, making it subject to the DH Connection Mandate obligation.",True,False,True,True,P3_regulatory_screening_dk|P5_scenario_comparison_L|ISO50001_PROCESS_COMPLIANCE|GENERIC_STANDARD|GENERIC_DC,19,,claude-haiku-4-5-20251001
B32,multi-hop-is,pass,"Yes, Denmark has a transposed EED according to the knowledge graph. The row for Denmark shows `eed_transposed True`.",True,False,False,True,GENERIC_COUNTRY|P3_regulatory_screening_dk|GENERIC_REGULATION|ALL_REGULATORY_ARTICLES|GENERIC_STANDARD,20,routing_under_retrieval,claude-haiku-4-5-20251001
B33,multi-hop-is,pass,The DH penetration rate in Italy is 5.0%.,False,False,False,False,GENERIC_COUNTRY|P3_regulatory_screening_dk|P4_incentives_it_whr|GENERIC_REGULATION|IT_DK_SUPPORT_COMPARE,14,borderline_derived,claude-haiku-4-5-20251001
C01,comparative,pass,"All three hyperscale scenarios (S7, S8, S9) have the same available heat capacity of 29,500 kW. There is no difference in available capacity across these scenarios.",True,False,True,True,P5_scenario_comparison_L|GENERIC_DC|DK_DH_COMPARE|P2_thermal_compatibility_all|IT_DK_SUPPORT_COMPARE,19,,claude-haiku-4-5-20251001
C02,comparative,pass,Scenario S9 provides the highest supply temperature for industrial use at 110.0°C (for the Sterilization process with CO2_HTHP upgrade technology).,False,False,True,True,P2_thermal_compatibility_all|P5_scenario_comparison_L|DK_4GDH_PARAMS|DK_DH_COMPARE|DK_3GDH_PARAMS,14,,claude-haiku-4-5-20251001
C03,comparative,pass,"DC-S (Edge) has 590 kW of recoverable waste heat, while DC-L (Hyperscale) has 30,000 kW of recoverable waste heat—a difference of 29,410 kW, with DC-L producing approximately 51 times more recoverable heat than DC-S.",True,False,False,True,GENERIC_DC|P5_scenario_comparison_L|P3_regulatory_screening_dk|P1_eed_art26_threshold|DK_DH_COMPARE,10,routing_under_retrieval,claude-haiku-4-5-20251001
C04,comparative,abstain,"Not available in the knowledge graph.

The rows show that EED Article 26 applies to data centers with IT power >= 1.0 MW, but they do not specify which data center scale (Edge, Mid-size, or Hyperscale) is exempt from this mandatory disclosure obligation.",False,True,True,True,P1_eed_art26_threshold|ALL_REGULATORY_ARTICLES|P2_thermal_compatibility_all|P6_full_is_path|P5_scenario_comparison_L,40,,claude-haiku-4-5-20251001
C05,comparative,abstain,"Not available in the knowledge graph.

The rows contain thermal gaps for specific scenarios (e.g., S1, S4, S7 all use direct_HX with supply_c 47.6 and required_c 60.0, a gap of 12.4°C), but they do not provide direct_HX gap data across all three temperature bands (T1, T2, T3). The scenarios only show direct_HX applied to the Low Grade band (T1: 40–60°C range). Gaps for Medium Grade (T2) and High Grade (T3) with direct_HX are not documented.",False,True,False,True,TEMPERATURE_BAND_DEF|P2_thermal_compatibility_S1|P2_thermal_compatibility_all|GENERIC_DC|DK_DH_COMPARE,18,routing_under_retrieval,claude-haiku-4-5-20251001
C06,comparative,abstain,"Not available in the knowledge graph.

The rows show that T2 band processes use the HP upgrade technology, but they do not contain comparative thermal gap data across different upgrade technologies for the T2 band that would allow determination of which technology minimizes the gap.",False,True,False,True,P2_thermal_compatibility_all|P5_scenario_comparison_L|TEMPERATURE_BAND_DEF|P6_full_is_path|ISO50001_PROCESS_COMPLIANCE,40,borderline_derived,claude-haiku-4-5-20251001
C07,comparative,pass,"Food, Drink and Milk sector has 6 scenarios (S1, S3, S4, S6, S7, S9) vs Pulp and Paper Industry sector has 3 scenarios (S2, S5, S8); Food sector has 3 more scenarios than Paper sector.",True,False,True,True,SCENARIO_COUNT_BY_SECTOR|P6_full_is_path|P2_thermal_compatibility_all|ISO50001_PROCESS_COMPLIANCE|DK_DH_COMPARE,40,synthesis_or_metric,claude-haiku-4-5-20251001
C08,comparative,abstain,"Not available in the knowledge graph.

The rows contain upgrade technologies, temperature data, and scenarios across different datacenter scales (Edge, Mid-size, Hyperscale), but they do not include upgrade cost information needed to determine which scenario offers the ""best thermal match considering upgrade cost"" for each scale.",False,True,True,True,P2_thermal_compatibility_all|P6_full_is_path|P5_scenario_comparison_L|P2_thermal_compatibility_S1|P1_eed_art26_threshold,40,,claude-haiku-4-5-20251001
