question_id,category,paraphrase_idx,original_question,paraphrased_question,original_template,paraphrase_template,routing_stable
A25,factual-lookup,3,How many Italian regulatory decrees on energy efficiency are in the knowledge graph?,What count of Italian legislative decrees related to energy efficiency is contained within the knowledge graph?,P4_incentives_it_whr,P4_incentives_it_whr,True
A29,factual-lookup,1,What is the return temperature of the Danish 4GDH network?,What temperature does the Danish 4GDH network return at?,DK_4GDH_PARAMS,DK_4GDH_PARAMS,True
A29,factual-lookup,2,What is the return temperature of the Danish 4GDH network?,"In the Danish 4GDH network, what is the temperature of the return flow?",DK_4GDH_PARAMS,DK_4GDH_PARAMS,True
A29,factual-lookup,3,What is the return temperature of the Danish 4GDH network?,What is the return flow temperature associated with the Danish 4GDH network?,DK_4GDH_PARAMS,DK_4GDH_PARAMS,True
A16,factual-lookup,1,How many temperature bands are defined in the IS framework?,What is the total number of temperature bands specified within the IS framework?,TEMPERATURE_BAND_DEF,TEMPERATURE_BAND_DEF,True
A16,factual-lookup,2,How many temperature bands are defined in the IS framework?,"In the IS framework, how many distinct temperature bands have been defined?",TEMPERATURE_BAND_DEF,TEMPERATURE_BAND_DEF,True
A16,factual-lookup,3,How many temperature bands are defined in the IS framework?,"Within the IS framework, what number of temperature bands are established?",TEMPERATURE_BAND_DEF,TEMPERATURE_BAND_DEF,True
B16,multi-hop-is,1,Which EU regulation mandates KPI reporting for a hyperscale DC and what specific KPIs are required?,"What EU regulation requires hyperscale DC operators to report KPIs, and which specific KPIs must be disclosed?",ALL_REGULATORY_ARTICLES,ALL_REGULATORY_ARTICLES,True
B16,multi-hop-is,2,Which EU regulation mandates KPI reporting for a hyperscale DC and what specific KPIs are required?,"For a hyperscale DC, which specific KPIs are required and what EU regulation makes KPI reporting mandatory?",ALL_REGULATORY_ARTICLES,ALL_REGULATORY_ARTICLES,True
B16,multi-hop-is,3,Which EU regulation mandates KPI reporting for a hyperscale DC and what specific KPIs are required?,"Under what EU regulation is KPI reporting obligatory for a hyperscale DC, and what are the particular KPIs that must be reported?",ALL_REGULATORY_ARTICLES,ALL_REGULATORY_ARTICLES,True
B14,multi-hop-is,1,Is waste heat recovery directly eligible for Italian white certificates?,Can waste heat recovery qualify directly for Italian white certificates?,P4_incentives_it_whr,P4_incentives_it_whr,True
B14,multi-hop-is,2,Is waste heat recovery directly eligible for Italian white certificates?,Are Italian white certificates directly applicable to waste heat recovery?,P4_incentives_it_whr,P4_incentives_it_whr,True
B14,multi-hop-is,3,Is waste heat recovery directly eligible for Italian white certificates?,Does waste heat recovery have direct eligibility for Italian white certificates?,P4_incentives_it_whr,P4_incentives_it_whr,True
B30,multi-hop-is,1,"For an Italian IS project using DC-M and a heat pump, what is the maximum incentive revenue at 25.8 EUR/MWh assuming 7000 operating hours?","Assuming 7000 operating hours and a rate of 25.8 EUR/MWh, what is the highest incentive revenue achievable for an Italian IS project that employs DC-M and a heat pump?",P2_thermal_compatibility_all,P2_thermal_compatibility_all,True
B30,multi-hop-is,2,"For an Italian IS project using DC-M and a heat pump, what is the maximum incentive revenue at 25.8 EUR/MWh assuming 7000 operating hours?","For an IS project in Italy utilizing a heat pump and DC-M, what maximum incentive revenue can be obtained at 25.8 EUR/MWh with 7000 hours of operation?",P2_thermal_compatibility_all,P2_thermal_compatibility_all,True
B30,multi-hop-is,3,"For an Italian IS project using DC-M and a heat pump, what is the maximum incentive revenue at 25.8 EUR/MWh assuming 7000 operating hours?","What is the peak incentive revenue for an Italian IS project combining DC-M with a heat pump, given an incentive rate of 25.8 EUR/MWh and 7000 operating hours?",P2_thermal_compatibility_all,P2_thermal_compatibility_all,True
B26,multi-hop-is,1,How many PRODUCES_HEAT relationships exist between DataCenter and HeatSource nodes?,What is the total count of PRODUCES_HEAT relationships linking DataCenter nodes to HeatSource nodes?,P6_full_is_path,P6_full_is_path,True
B26,multi-hop-is,2,How many PRODUCES_HEAT relationships exist between DataCenter and HeatSource nodes?,"Between DataCenter and HeatSource nodes, how many PRODUCES_HEAT relationships are present?",P6_full_is_path,P6_full_is_path,True
B26,multi-hop-is,3,How many PRODUCES_HEAT relationships exist between DataCenter and HeatSource nodes?,How many PRODUCES_HEAT connections exist from DataCenter nodes to HeatSource nodes?,P6_full_is_path,P6_full_is_path,True
B08,multi-hop-is,1,"How many scenarios target processes in the Food, Drink and Milk sector?","In the Food, Drink and Milk sector, how many scenarios are directed at processes?",P6_full_is_path,P6_full_is_path,True
B08,multi-hop-is,2,"How many scenarios target processes in the Food, Drink and Milk sector?","What is the number of scenarios targeting processes within the Food, Drink and Milk sector?",P6_full_is_path,P6_full_is_path,True
B08,multi-hop-is,3,"How many scenarios target processes in the Food, Drink and Milk sector?","How many scenarios focus on processes belonging to the Food, Drink and Milk sector?",P6_full_is_path,P6_full_is_path,True
B33,multi-hop-is,1,What is the DH penetration rate in Italy according to the knowledge graph?,"According to the knowledge graph, what is the DH penetration rate in Italy?",P3_regulatory_screening_dk,P3_regulatory_screening_dk,True
B33,multi-hop-is,2,What is the DH penetration rate in Italy according to the knowledge graph?,What does the knowledge graph indicate regarding the DH penetration rate in Italy?,P3_regulatory_screening_dk,P3_regulatory_screening_dk,True
B33,multi-hop-is,3,What is the DH penetration rate in Italy according to the knowledge graph?,"Based on the knowledge graph, what penetration rate does DH have in Italy?",P3_regulatory_screening_dk,P4_incentives_it_whr,False
B01,multi-hop-is,1,What is the thermal compatibility status of Scenario S1 using direct heat exchange?,"Using direct heat exchange, what is the thermal compatibility status for Scenario S1?",P2_thermal_compatibility_S1,P2_thermal_compatibility_S1,True
B01,multi-hop-is,2,What is the thermal compatibility status of Scenario S1 using direct heat exchange?,What does the thermal compatibility status indicate for Scenario S1 when direct heat exchange is employed?,P2_thermal_compatibility_S1,P2_thermal_compatibility_S1,True
B01,multi-hop-is,3,What is the thermal compatibility status of Scenario S1 using direct heat exchange?,"In the case of Scenario S1, what is the status of thermal compatibility under direct heat exchange?",P2_thermal_compatibility_S1,P2_thermal_compatibility_S1,True
C13,comparative,1,Which jurisdiction offers better financial support for IS projects - Italy or Denmark based on knowledge graph?,"Based on the knowledge graph, does Italy or Denmark provide superior financial backing for IS projects?",P3_regulatory_screening_dk,P3_regulatory_screening_dk,True
C13,comparative,2,Which jurisdiction offers better financial support for IS projects - Italy or Denmark based on knowledge graph?,"According to the knowledge graph, between Italy and Denmark, which country delivers greater financial assistance for IS projects?",P3_regulatory_screening_dk,P3_regulatory_screening_dk,True
C13,comparative,3,Which jurisdiction offers better financial support for IS projects - Italy or Denmark based on knowledge graph?,"Which of the two countries, Italy or Denmark, offers more favorable financial support for IS projects, as indicated by the knowledge graph?",P3_regulatory_screening_dk,P3_regulatory_screening_dk,True
C24,comparative,1,For which scenarios is absorption chiller a potentially eligible TEE/CB technology in Italy?,In which scenarios could an absorption chiller qualify as a potentially eligible TEE/CB technology in Italy?,P2_thermal_compatibility_all,P2_thermal_compatibility_all,True
C24,comparative,2,For which scenarios is absorption chiller a potentially eligible TEE/CB technology in Italy?,Which scenarios allow an absorption chiller to be considered a potentially eligible technology under TEE/CB in Italy?,P2_thermal_compatibility_all,P2_thermal_compatibility_all,True
C24,comparative,3,For which scenarios is absorption chiller a potentially eligible TEE/CB technology in Italy?,For what scenarios might an absorption chiller be regarded as a potentially eligible TEE/CB technology in the Italian context?,P2_thermal_compatibility_all,P4_incentives_it_whr,False
C14,comparative,1,Compare 3GDH and 4GDH supply temperatures and their compatibility with LC data center waste heat.,"How do the supply temperatures of 3GDH and 4GDH compare, and are they compatible with waste heat from LC data centers?",DK_4GDH_PARAMS,DK_4GDH_PARAMS,True
C14,comparative,2,Compare 3GDH and 4GDH supply temperatures and their compatibility with LC data center waste heat.,"What are the differences in supply temperatures between 3GDH and 4GDH, and how well do they align with LC data center waste heat recovery?",DK_4GDH_PARAMS,DK_4GDH_PARAMS,True
C14,comparative,3,Compare 3GDH and 4GDH supply temperatures and their compatibility with LC data center waste heat.,Examine the supply temperature distinctions of 3GDH versus 4GDH and evaluate their suitability for integration with LC data center waste heat.,DK_4GDH_PARAMS,DK_4GDH_PARAMS,True
C10,comparative,1,Compare DH penetration rates between Italy and Denmark in the knowledge graph.,"In the knowledge graph, how do the DH penetration rates of Italy and Denmark compare?",P3_regulatory_screening_dk,P3_regulatory_screening_dk,True
C10,comparative,2,Compare DH penetration rates between Italy and Denmark in the knowledge graph.,What is the difference in DH penetration rates between Denmark and Italy as represented in the knowledge graph?,P3_regulatory_screening_dk,P3_regulatory_screening_dk,True
C10,comparative,3,Compare DH penetration rates between Italy and Denmark in the knowledge graph.,"Looking at the knowledge graph, contrast the DH penetration rates for Italy and Denmark.",P3_regulatory_screening_dk,P3_regulatory_screening_dk,True
C20,comparative,1,Which upgrade technology achieves the highest supply temperature in the framework?,"In the framework, which upgrade technology reaches the maximum supply temperature?",P6_full_is_path,P6_full_is_path,True
C20,comparative,2,Which upgrade technology achieves the highest supply temperature in the framework?,What upgrade technology attains the highest supply temperature within the framework?,P6_full_is_path,P6_full_is_path,True
C20,comparative,3,Which upgrade technology achieves the highest supply temperature in the framework?,"Among the upgrade technologies in the framework, which one achieves the greatest supply temperature?",P6_full_is_path,P6_full_is_path,True
C30,comparative,1,Which IS scenarios are directly eligible for Danish DH connection mandate without additional regulatory steps?,Which IS scenarios qualify directly for the Danish DH connection mandate with no extra regulatory steps required?,P3_regulatory_screening_dk,P3_regulatory_screening_dk,True
C30,comparative,2,Which IS scenarios are directly eligible for Danish DH connection mandate without additional regulatory steps?,"Without any additional regulatory steps, which IS scenarios are immediately eligible under the Danish DH connection mandate?",P3_regulatory_screening_dk,P3_regulatory_screening_dk,True
C30,comparative,3,Which IS scenarios are directly eligible for Danish DH connection mandate without additional regulatory steps?,"Which IS scenarios meet the direct eligibility criteria for the Danish DH connection mandate, requiring no further regulatory procedures?",P3_regulatory_screening_dk,P3_regulatory_screening_dk,True
